target_id,pdb_code,residues,oligo_state,protein_name,ligand_info,is_auxiliary,status,notes
H1114,7UTD,1093,A4B8C8,"[NiFe]-hydrogenase Huc (A0QUM5/A0QUM6/A0QUM7)","NiFe cofactor",no,active,""
T1118v1,8B43,776,A1,"Q9I116 (P. aeruginosa)","unknown",yes,active,"auxiliary structure for ligand prediction"
T1124,7UX8,384,A2,"MfnG tyrosine O-methyltransferase (A0A0D4WTP2)","SAM/SAH",no,active,""
T1127,8XBP,211,A2,"Q9ZV05 (Arabidopsis)","unknown",no,active,""
H1135,7Z8Y,220,A9B3,"SUN1-KASH6 complex (O94901/Q12912)","unknown",no,active,""
T1146,,310,A1,"Bd0601 peptidoglycan hydrolase (Q6MQ80)","unknown",no,active,"PDB code not found - structure may not be deposited"
T1152,7R1L,56,A2,"Protein-carbohydrate complex","carbohydrate",no,active,""
T1127v2,8XBP,211,A2,"Q9ZV05 (Arabidopsis)","unknown",yes,active,"auxiliary - same as T1127"
T1158v1,8SX8,1340,A1,"MRP4 E1202Q mutant","PGE1 (prostaglandin E1)",yes,active,"auxiliary structure for ligand prediction"
T1158v2,8SXB,1340,A1,"MRP4 E1202Q mutant","PGE2 (prostaglandin E2)",yes,active,"auxiliary structure for ligand prediction"
T1158v3,8SX7,1340,A1,"MRP4 E1202Q mutant","DHEAS (dehydroepiandrosterone sulfate)",yes,active,"auxiliary structure for ligand prediction"
T1158v4,8SWN,1340,A1,"MRP4 E1202Q mutant","ATP",yes,active,"auxiliary structure for ligand prediction"
T1170,7PBR,318,A6,"RuvB helicase","ATP/ADP",no,active,""
H1171,7PBL,366,A6B1,"RuvB-RuvA(domain3) complex","ATP/ADP",no,active,""
H1172,7PBP,366,A6B2,"RuvB-2xRuvA(domain3) complex","ATP/ADP",no,active,""
T1181,,688,A3,"G0XNW6 bacteriophage G7C tail protein","OAA",no,active,"PDB code not found - structure may not be deposited"
T1186,,259,A1,"CTX-M-14 beta-lactamase","dicloxacillin",yes,active,"auxiliary - template 6CYQ, target structure not found"
T1187,8AD2,166,A2,"Q94EW1_TOBAC (tobacco protein)","unknown",no,active,""
T1188,8C6Z,630,A1,"F8UNI4_CLOPF (Clostridium protein)","unknown",no,active,""
