target_id,pdb_code,residues,oligo_state,protein_name,ligand_info,is_auxiliary,status,notes,pdb_downloaded,doi,title,authors,journal,year
H1114,7UTD,1093,A4B8C8,[NiFe]-hydrogenase Huc (A0QUM5/A0QUM6/A0QUM7),NiFe cofactor,no,active,,True,10.1038/s41586-023-05781-7,Structural basis for bacterial energy extraction from atmospheric hydrogen.,"Grinter, R.; Kropp, A.; Venugopal, H.; Senger, M.; Badley, J. et al.",Nature,2023
T1118v1,8B43,776,A1,Q9I116 (P. aeruginosa),unknown,yes,active,auxiliary structure for ligand prediction,True,10.1073/pnas.2221253120,"Interactions of TonB-dependent transporter FoxA with siderophores and antibiotics that affect binding, uptake, and signal transduction.","Chan, D.C.K.; Josts, I.; Koteva, K.; Wright, G.D.; Tidow, H. et al.",Proc.Natl.Acad.Sci.USA,2023
T1124,7UX8,384,A2,MfnG tyrosine O-methyltransferase (A0A0D4WTP2),SAM/SAH,no,active,,True,10.1002/pro.4443,Expanding the eukaryotic genetic code with a biosynthesized 21st amino acid.,"Wu, K.L.; Moore, J.A.; Miller, M.D.; Chen, Y.; Lee, C. et al.",Protein Sci.,2022
T1127,8XBP,211,A2,Q9ZV05 (Arabidopsis),unknown,no,active,,True,,Crystal structure of AtNATA1 bound to Acetyl CoA,"Hameed, U.F.S.; Arold, S.T.",To Be Published,
H1135,7Z8Y,220,A9B3,SUN1-KASH6 complex (O94901/Q12912),unknown,no,active,,True,10.1038/s42003-024-05794-6,The crystal structure of SUN1-KASH6 reveals an asymmetric LINC complex architecture compatible with nuclear membrane insertion.,"Gurusaran, M.; Erlandsen, B.S.; Davies, O.R.",Commun Biol,2024
T1146,,310,A1,Bd0601 peptidoglycan hydrolase (Q6MQ80),unknown,no,active,PDB code not found - structure may not be deposited,False,,,,,
T1152,7R1L,56,A2,Protein-carbohydrate complex,carbohydrate,no,active,,True,,Unravelling Clostridium thermocellum LysM domains: a molecular view on the cooperative recognition of chitin and peptidoglycan,"Ribeiro, D.O.; Palma, A.S.",To Be Published,
T1127v2,8XBP,211,A2,Q9ZV05 (Arabidopsis),unknown,yes,active,auxiliary - same as T1127,True,,Crystal structure of AtNATA1 bound to Acetyl CoA,"Hameed, U.F.S.; Arold, S.T.",To Be Published,
T1158v1,8SX8,1340,A1,MRP4 E1202Q mutant,PGE1 (prostaglandin E1),yes,active,auxiliary structure for ligand prediction,True,10.1038/s41594-023-01176-4,Structural basis of prostaglandin efflux by MRP4.,"Pourmal, S.; Green, E.; Bajaj, R.; Chemmama, I.E.; Knudsen, G.M. et al.",Nat.Struct.Mol.Biol.,2024
T1158v2,8SXB,1340,A1,MRP4 E1202Q mutant,PGE2 (prostaglandin E2),yes,active,auxiliary structure for ligand prediction,True,10.1038/s41594-023-01176-4,Structural basis of prostaglandin efflux by MRP4.,"Pourmal, S.; Green, E.; Bajaj, R.; Chemmama, I.E.; Knudsen, G.M. et al.",Nat.Struct.Mol.Biol.,2024
T1158v3,8SX7,1340,A1,MRP4 E1202Q mutant,DHEAS (dehydroepiandrosterone sulfate),yes,active,auxiliary structure for ligand prediction,True,10.1038/s41594-023-01176-4,Structural basis of prostaglandin efflux by MRP4.,"Pourmal, S.; Green, E.; Bajaj, R.; Chemmama, I.E.; Knudsen, G.M. et al.",Nat.Struct.Mol.Biol.,2024
T1158v4,8SWN,1340,A1,MRP4 E1202Q mutant,ATP,yes,active,auxiliary structure for ligand prediction,True,10.1038/s41594-023-01176-4,Structural basis of prostaglandin efflux by MRP4.,"Pourmal, S.; Green, E.; Bajaj, R.; Chemmama, I.E.; Knudsen, G.M. et al.",Nat.Struct.Mol.Biol.,2024
T1170,7PBR,318,A6,RuvB helicase,ATP/ADP,no,active,,True,10.1038/s41586-022-05121-1,Mechanism of AAA+ ATPase-mediated RuvAB-Holliday junction branch migration.,"Wald, J.; Fahrenkamp, D.; Goessweiner-Mohr, N.; Lugmayr, W.; Ciccarelli, L. et al.",Nature,2022
H1171,7PBL,366,A6B1,RuvB-RuvA(domain3) complex,ATP/ADP,no,active,,True,10.1038/s41586-022-05121-1,Mechanism of AAA+ ATPase-mediated RuvAB-Holliday junction branch migration.,"Wald, J.; Fahrenkamp, D.; Goessweiner-Mohr, N.; Lugmayr, W.; Ciccarelli, L. et al.",Nature,2022
H1172,7PBP,366,A6B2,RuvB-2xRuvA(domain3) complex,ATP/ADP,no,active,,True,10.1038/s41586-022-05121-1,Mechanism of AAA+ ATPase-mediated RuvAB-Holliday junction branch migration.,"Wald, J.; Fahrenkamp, D.; Goessweiner-Mohr, N.; Lugmayr, W.; Ciccarelli, L. et al.",Nature,2022
T1181,,688,A3,G0XNW6 bacteriophage G7C tail protein,OAA,no,active,PDB code not found - structure may not be deposited,False,,,,,
T1186,,259,A1,CTX-M-14 beta-lactamase,dicloxacillin,yes,active,"auxiliary - template 6CYQ, target structure not found",False,,,,,
T1187,8AD2,166,A2,Q94EW1_TOBAC (tobacco protein),unknown,no,active,,True,10.1093/glycob/cwae087,The crystal structure of Nictaba reveals its carbohydrate-binding properties and a new lectin dimerization mode.,"Bloch, Y.; Osterne, V.J.S.; Savvides, S.N.; Van Damme, E.J.M.",Glycobiology,2024
T1188,8C6Z,630,A1,F8UNI4_CLOPF (Clostridium protein),unknown,no,active,,True,10.1371/journal.ppat.1012560,"Clostridium perfringens chitinases, key enzymes during early stages of necrotic enteritis in broiler chickens.","Dierick, E.; Callens, C.; Bloch, Y.; Savvides, S.N.; Hark, S. et al.",Plos Pathog.,2024
